run_id,t,coverage,corpus_size
run_1,1.92,3042,332
run_2,1.92,2939,316
run_3,1.92,2788,289
run_4,1.92,3042,332
run_5,1.92,3042,332
run_6,1.92,3059,341
run_7,1.92,3042,332
run_8,1.92,3042,332
run_9,1.92,2939,316
run_10,1.92,2939,316
run_1,1.93,3042,332
run_2,1.93,2939,316
run_3,1.93,2788,289
run_4,1.93,3042,332
run_5,1.93,3042,332
run_6,1.93,3059,341
run_7,1.93,3059,341
run_8,1.93,3042,332
run_9,1.93,2939,316
run_10,1.93,2939,316
run_1,1.96,3042,332
run_2,1.96,2939,316
run_3,1.96,2788,289
run_4,1.96,3042,332
run_5,1.96,3042,332
run_6,1.96,3059,341
run_7,1.96,3059,341
run_8,1.96,3059,341
run_9,1.96,2939,316
run_10,1.96,3042,332
run_1,1.97,3042,332
run_2,1.97,2939,316
run_3,1.97,2788,289
run_4,1.97,3042,332
run_5,1.97,3042,332
run_6,1.97,3059,341
run_7,1.97,3059,341
run_8,1.97,3059,341
run_9,1.97,3042,332
run_10,1.97,3042,332
run_1,1.98,3042,332
run_2,1.98,2939,316
run_3,1.98,2845,297
run_4,1.98,3042,332
run_5,1.98,3042,332
run_6,1.98,3059,341
run_7,1.98,3059,341
run_8,1.98,3059,341
run_9,1.98,3042,332
run_10,1.98,3042,332
run_1,1.99,3042,332
run_2,1.99,2939,316
run_3,1.99,2845,297
run_4,1.99,3042,332
run_5,1.99,3059,341
run_6,1.99,3059,341
run_7,1.99,3059,341
run_8,1.99,3059,341
run_9,1.99,3042,332
run_10,1.99,3042,332
run_1,2,3042,332
run_2,2,2939,316
run_3,2,2845,297
run_4,2,3059,341
run_5,2,3059,341
run_6,2,3082,347
run_7,2,3059,341
run_8,2,3059,341
run_9,2,3042,332
run_10,2,3042,332
run_1,2.02,3059,341
run_2,2.02,2939,316
run_3,2.02,2845,297
